50
66,58,24,41,48,20,48,9,45,71,95,47,78,2,50,54,80,35,45,45,62,94,43,18,59,85,33,37,82,89,66,100,47,91,22,74,81,58,22,34,77,6,81,56,77,80,33,91,80,8
78,31,81,89,40,98,9,59,72,99,74,18,33,75,18,17,49,40,1,34,90,40,4,27,59,29,54,91,54,60,74,86,83,67,83,52,69,66,100,23,82,31,58,81,71,16,42,91,88,53
2,30,34,60,61,59,28,80,20,16,81,6,17,71,18,87,70,31,17,68,8,1,44,65,76,23,62,38,13,53,96,45,17,13,49,83,89,71,88,90,72,53,42,21,76,38,27,98,5,11
13,71,27,86,92,85,45,69,78,29,61,22,2,62,76,52,57,76,76,90,62,77,12,92,79,95,78,98,94,48,22,68,58,66,29,100,31,41,72,65,54,3,74,28,71,12,7,93,64,16
12,95,56,58,32,50,14,47,82,65,62,72,18,94,49,11,15,4,45,93,3,95,8,82,10,26,28,50,20,85,16,16,71,43,28,72,27,63,26,92,17,98,35,100,5,2,70,97,14,29
2,16,81,10,67,57,34,99,68,42,13,53,81,10,39,100,5,17,2,84,10,58,89,58,6,31,55,14,27,96,67,97,16,19,52,39,84,73,13,58,87,5,46,7,77,82,33,3,2,14
29,8,50,50,89,69,60,6,44,40,65,90,1,39,98,87,15,32,92,100,87,56,96,46,11,15,30,61,87,22,76,5,22,55,71,2,43,46,32,62,48,55,77,96,77,90,50,34,79,65
24,84,24,44,45,43,77,56,85,82,83,43,5,17,92,48,62,94,39,100,60,61,96,74,14,48,61,43,17,57,32,65,46,82,62,57,53,91,15,10,36,59,40,89,31,45,56,55,79,87
87,62,74,74,62,78,45,79,97,20,79,78,3,51,30,41,16,8,72,91,91,58,39,99,75,60,38,10,12,75,87,70,27,29,64,43,98,65,46,1,8,97,44,89,76,40,77,6,87,48
41,71,34,58,19,64,48,55,24,1,3,89,80,14,71,87,56,65,28,40,44,68,84,5,91,87,43,75,27,95,92,92,95,19,72,33,27,41,27,41,78,68,6,15,55,36,96,64,40,14
69,56,25,47,66,46,31,79,88,73,95,2,65,94,3,25,36,97,58,58,64,95,35,10,54,2,44,63,77,6,61,92,29,5,69,60,34,1,83,59,28,3,3,38,78,50,21,11,11,50
62,30,78,81,5,74,68,28,70,18,73,9,57,39,65,86,85,90,95,2,40,82,31,75,32,39,1,85,58,60,7,5,33,66,28,86,41,9,4,80,5,16,42,46,96,70,78,52,84,49
68,38,99,79,93,85,59,64,26,27,59,97,88,93,65,47,78,71,22,47,86,7,37,49,23,27,87,46,55,53,6,43,14,82,47,71,90,1,92,6,97,35,71,55,6,28,6,63,58,1
92,39,100,57,92,47,32,45,59,13,13,96,84,49,13,75,49,8,43,18,55,57,12,44,67,54,26,9,14,25,56,95,81,48,79,42,66,64,81,64,88,49,91,35,89,23,28,59,57,33
5,12,25,71,45,60,13,68,76,33,97,42,52,73,25,33,81,23,84,6,51,31,92,60,39,2,94,6,92,27,54,50,22,79,61,96,84,86,47,5,76,73,83,7,9,22,35,70,65,81
4,67,94,44,39,98,90,12,32,45,66,100,47,43,52,10,76,69,6,56,29,33,45,4,27,95,33,12,11,87,30,74,90,58,17,61,48,30,69,75,27,81,91,27,58,63,14,6,62,70
84,8,76,29,50,4,38,8,82,5,49,74,100,62,55,30,1,11,44,71,88,50,94,25,31,2,24,79,8,23,39,52,19,40,9,22,15,99,21,30,10,85,26,67,74,63,47,29,34,57
75,58,95,78,96,23,99,77,90,8,49,52,16,53,6,27,100,53,67,10,4,33,27,78,26,57,96,92,72,72,9,36,34,51,42,18,15,76,80,35,46,85,27,90,42,1,65,14,51,83
60,23,79,8,91,44,91,32,83,78,87,91,78,63,61,15,97,52,32,16,96,62,45,41,47,57,82,29,16,4,56,3,84,65,64,97,62,46,15,77,100,98,65,9,51,86,80,34,98,83
48,43,61,17,43,91,72,19,7,35,10,60,21,62,12,64,32,44,13,33,3,15,86,63,39,75,61,41,20,39,29,1,44,45,30,9,86,30,56,86,75,23,92,25,76,3,41,99,83,47
97,88,27,37,69,32,99,43,71,97,64,67,94,2,41,14,22,23,31,19,90,80,50,100,46,23,97,8,51,31,7,6,58,45,69,16,74,17,73,27,49,93,94,48,16,88,43,17,65,57
65,18,43,64,92,73,14,67,6,31,3,61,69,44,62,99,59,30,70,40,26,72,16,36,56,46,61,12,55,48,78,55,5,3,68,75,51,56,59,68,100,2,23,13,59,80,93,46,68,62
27,73,94,37,80,55,55,83,49,64,67,22,8,18,10,70,39,17,47,1,58,14,67,34,81,57,17,86,26,82,60,80,44,53,85,47,55,95,20,74,64,97,86,39,6,6,60,66,71,57
18,45,49,26,13,92,34,63,27,19,17,55,52,11,56,68,60,88,7,98,35,96,78,56,60,67,55,95,52,2,76,5,49,27,57,26,37,90,72,71,79,10,27,65,99,79,48,32,95,98
54,31,49,7,87,67,27,34,9,69,79,20,15,68,7,52,68,78,1,58,48,62,46,27,87,98,39,70,60,51,86,19,75,41,15,4,59,17,94,87,38,42,85,41,54,70,68,43,94,53
1,25,75,68,78,16,9,8,36,41,37,68,14,97,27,71,30,41,63,83,27,13,67,50,36,44,47,36,90,33,69,66,99,48,33,84,34,100,70,76,2,78,6,88,58,69,47,17,39,57
66,14,28,44,69,85,71,90,51,2,90,83,92,18,92,65,100,8,4,15,5,68,70,50,16,77,2,73,27,18,10,31,28,33,61,33,61,47,92,64,43,50,56,87,38,61,7,84,41,29
96,66,24,95,92,92,83,25,5,13,10,24,12,5,34,77,97,55,83,6,62,59,19,47,19,61,91,23,63,80,91,91,90,34,8,23,29,92,46,29,61,56,98,93,51,93,70,23,65,74
19,33,5,40,74,8,43,58,39,14,72,42,88,15,87,62,32,48,15,2,69,48,19,53,98,67,56,91,95,60,14,95,22,22,45,53,38,45,18,34,39,66,41,86,74,31,26,97,8,36
42,2,88,34,84,88,28,81,4,75,72,96,44,64,75,68,61,77,40,26,11,68,90,43,87,83,12,71,79,78,19,65,79,10,68,87,54,31,81,79,59,34,83,56,59,16,50,38,82,76
62,73,28,57,17,59,46,29,5,56,98,55,88,7,95,46,4,60,51,43,42,72,78,29,22,89,95,2,88,18,15,32,30,69,34,56,65,23,69,1,54,37,10,68,84,91,73,89,60,47
74,41,88,66,35,79,69,67,17,62,45,4,33,6,20,81,88,49,94,22,5,6,17,82,15,31,46,71,63,56,27,85,8,63,42,7,85,67,51,62,96,52,63,95,37,98,52,80,6,90
11,55,43,92,73,79,95,23,59,39,38,6,7,61,22,67,38,65,77,83,30,18,87,93,89,28,91,28,48,37,37,49,84,12,83,81,27,65,42,23,55,11,97,55,19,11,4,74,32,94
28,73,21,22,35,93,3,8,13,12,24,12,54,18,26,14,39,4,60,21,68,3,90,91,54,98,1,14,15,25,47,85,88,68,8,20,46,87,40,33,44,97,89,32,36,63,11,26,34,89
9,8,4,16,4,91,92,40,6,10,97,31,74,3,79,80,63,98,25,7,90,68,43,34,4,3,83,76,91,96,93,10,85,48,34,18,13,38,100,80,20,86,98,51,98,5,48,74,7,63
28,43,51,41,72,82,59,99,26,48,49,37,91,89,40,69,59,2,5,51,57,36,50,29,95,56,95,82,41,97,40,61,100,7,42,43,62,72,64,16,73,27,20,91,34,36,75,21,53,57
39,17,22,66,49,80,79,60,31,73,14,74,84,43,33,23,59,56,95,30,8,99,38,27,81,57,2,24,47,69,48,46,16,50,82,88,87,78,5,82,21,59,14,28,55,52,20,60,44,23
99,82,30,94,68,26,97,22,1,21,100,16,70,73,58,12,66,78,91,45,41,84,80,28,42,76,46,54,23,49,61,51,96,73,84,63,70,80,61,73,43,4,72,13,62,50,42,62,35,60
66,17,59,89,75,92,1,9,19,89,30,26,99,80,37,92,12,2,5,78,62,43,35,70,32,60,72,34,49,42,52,10,62,75,86,18,78,78,64,64,15,34,92,73,4,62,5,92,61,35
79,28,3,58,19,92,42,14,74,96,36,47,65,67,91,70,55,40,87,76,12,78,33,11,47,53,13,49,56,15,85,50,6,26,33,95,58,34,69,92,50,94,43,77,99,28,20,8,81,28
28,85,87,44,43,44,16,23,100,75,28,35,74,21,79,51,65,45,59,63,24,69,54,42,96,97,88,89,86,63,99,87,100,44,54,76,68,88,32,62,18,58,71,15,69,76,82,7,61,10
27,56,77,52,15,4,94,43,99,17,55,14,78,86,9,41,62,7,46,21,35,64,97,44,10,69,46,80,64,37,9,92,79,18,87,34,10,54,65,23,39,71,65,78,9,68,95,5,15,29
64,39,30,1,19,28,55,60,52,49,16,95,15,95,33,29,55,86,54,51,92,87,31,94,66,70,39,97,89,29,73,66,21,13,76,63,13,62,55,56,55,4,86,81,96,90,54,44,79,45
24,28,50,44,41,65,49,6,25,20,56,40,9,42,36,6,16,16,65,61,32,7,24,56,20,40,31,93,94,90,58,36,42,74,1,12,8,93,88,8,95,25,77,99,24,70,57,58,25,47
15,26,82,37,2,66,100,43,81,1,71,51,59,19,66,16,36,10,40,71,66,100,22,16,55,36,3,36,95,74,61,71,54,9,72,40,52,23,34,37,64,35,7,99,65,44,70,89,63,81
59,29,89,34,47,66,7,52,98,26,67,40,74,13,41,97,75,70,50,86,57,76,25,41,61,7,84,50,29,26,2,94,14,93,43,41,79,24,83,80,97,20,53,61,32,80,24,96,83,79
24,62,64,86,97,63,37,61,43,54,99,77,3,100,8,20,91,68,86,72,42,85,6,84,46,71,5,26,46,50,9,45,4,79,6,15,67,43,54,25,30,8,61,39,7,72,58,63,47,26
